,track_id,year,total_curses,curses,unique_words,density,creativity,charted
0,TRAAABD128F429CF47,1969,0,0,74,226,0.327433628319,0
1,TRAAAEF128F4273421,1982,0,0,59,139,0.424460431655,0
2,TRAAAFD128F92F423A,2007,0,0,82,160,0.5125,0
3,TRAAARJ128F9320760,1984,0,0,91,203,0.448275862069,0
4,TRAABJV128F1460C49,1986,0,0,86,189,0.455026455026,0
5,TRAABLR128F423B7E3,1987,0,0,102,210,0.485714285714,0
6,TRAABVM128F92CA9DC,2004,0,0,119,325,0.366153846154,0
7,TRAACER128F4290F96,2004,0,0,122,255,0.478431372549,0
8,TRAACFV128F935E50B,1985,0,0,76,254,0.299212598425,0
9,TRAADLH12903CA70EE,2003,0,0,41,55,0.745454545455,0
10,TRAADNA128F9331246,1992,0,0,79,148,0.533783783784,0
11,TRAADQX128F422B4CF,2006,0,0,72,137,0.525547445255,0
12,TRAADYB128F92D7E73,2009,0,0,46,236,0.194915254237,0
13,TRAADYI128E078FB38,1997,9,1,197,684,0.288011695906,0
14,TRAAENC128F1451DE9,1995,0,0,123,401,0.306733167082,0
15,TRAAFMS128F933AB23,1990,0,0,36,85,0.423529411765,0
16,TRAAFUJ128F933F42B,1997,4,1,177,444,0.398648648649,0
17,TRAAGEC128E079252C,2000,0,0,80,136,0.588235294118,0
18,TRAAGJV128F1464090,1963,0,0,70,227,0.308370044053,0
19,TRAAGPF12903CE027E,1990,0,0,39,90,0.433333333333,0
20,TRAAGPJ128F428CD1B,2005,0,0,94,184,0.510869565217,0
21,TRAAHEG128E07861C3,2001,14,1,143,277,0.516245487365,0
22,TRAAHRF128F92FE234,1995,0,0,65,136,0.477941176471,0
23,TRAAHZP12903CA25F4,1997,10,1,229,448,0.511160714286,0
24,TRAAIAE128F42AC53D,2005,0,0,55,128,0.4296875,0
25,TRAAIHL128F92E6DDA,1994,0,0,127,460,0.276086956522,0
26,TRAAIII128F427D5D8,1971,0,0,55,160,0.34375,0
27,TRAAJAC128F148B530,1995,0,0,113,221,0.511312217195,0
28,TRAAJEK128F422F55A,2007,0,0,106,307,0.345276872964,0
29,TRAAJJA12903CC518A,1999,8,1,216,540,0.4,0
30,TRAAJJG128F4284B27,2001,0,0,123,335,0.367164179104,0
31,TRAAJYX128F4255568,1991,0,0,91,511,0.178082191781,0
32,TRAAKAS128F4246013,1997,0,0,31,60,0.516666666667,0
33,TRAAMES128F42AF068,2006,0,0,85,175,0.485714285714,0
34,TRAAMPA128F92E7D0D,1986,0,0,51,205,0.248780487805,0
35,TRAANBH128F9345A6C,1998,0,0,83,193,0.430051813472,0
36,TRAAOIN128F9303790,2005,0,0,113,212,0.533018867925,0
37,TRAAOJI128F1458DCD,1981,2,1,102,200,0.51,0
38,TRAAPGF128F1458F8B,1983,0,0,59,370,0.159459459459,0
39,TRAAPIV128F1493132,1997,0,0,80,218,0.366972477064,0
40,TRAAPPQ128F14961F5,1986,0,0,38,195,0.194871794872,0
41,TRAAQBF12903CF796B,2005,0,0,57,155,0.367741935484,0
42,TRAAQCK128F92E8C33,2006,0,0,99,311,0.318327974277,0
43,TRAAQIH128F428BDEA,2007,3,1,188,468,0.401709401709,0
44,TRAAQUC128F9322A82,1995,0,0,96,166,0.578313253012,0
45,TRAASFP128F42980BD,2001,0,0,34,105,0.32380952381,0
46,TRAASGM128EF34DBB0,2007,15,1,218,792,0.275252525253,0
47,TRAASQC128F93480F0,2003,0,0,91,209,0.435406698565,0
48,TRAASUZ128F9314950,1999,4,1,62,211,0.293838862559,0
